,pathway_name,pathway_description,ko_id
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K14454
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K14455
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K00815
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K03334
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K00457
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K07253
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00453
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00463
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K01432
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00486
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K01556
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00452
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K03392
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K23234
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K15791
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00658
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00382
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00252
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K07515
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K07514
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K07511
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00022
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00626
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00816
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00825
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00502
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K01593
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00274
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00128
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K14085
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00149
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00157
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00543
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00669
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K07408
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K07409
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K07410
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K00562
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K03334
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K11182
33,hsa00380,Tryptophan metabolism - Homo sapiens (human),K03781
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K18966
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K01580
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K05604
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K14755
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K08660
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K13524
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K12259
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00276
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00128
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K14085
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00149
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00129
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00207
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K01464
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K01431
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K05605
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K07515
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K07514
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K07511
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00248
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00232
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K01578
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human),K00140
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K00456
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K01580
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K18966
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K10712
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K00485
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K00681
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K18592
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),K00659
36,hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human),K00967
36,hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human),K00993
36,hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human),K13644
36,hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human),K00968
36,hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human),K00994
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K00816
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K00548
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K01758
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K01763
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K22182
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K00562
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K13811
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K01008
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K10837
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K03341
37,hsa00450,Selenocompound metabolism - Homo sapiens (human),K01874
38,hsa00470,D-Amino acid metabolism - Homo sapiens (human),K01425
38,hsa00470,D-Amino acid metabolism - Homo sapiens (human),K22210
38,hsa00470,D-Amino acid metabolism - Homo sapiens (human),K00272
38,hsa00470,D-Amino acid metabolism - Homo sapiens (human),K12235
38,hsa00470,D-Amino acid metabolism - Homo sapiens (human),K00273
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00681
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K18592
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00682
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K07232
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K01469
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K11204
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K11205
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K21456
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K11142
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K11140
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00799
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K23790
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K13299
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K04097
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K25210
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K20838
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00383
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00031
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00033
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00036
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K05360
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K05361
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00432
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K11188
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K01581
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00797
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K00802
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K10807
39,hsa00480,Glutathione metabolism - Homo sapiens (human),K10808
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K04487
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K06928
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K01077
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K14394
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K00949
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K00939
40,hsa00730,Thiamine metabolism - Homo sapiens (human),K05307
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K00861
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K14379
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K14394
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K14410
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K00953
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K01513
41,hsa00740,Riboflavin metabolism - Homo sapiens (human),K05901
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human),K00275
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human),K00868
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human),K07758
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human),K13248
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human),K00157
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human),K00831
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K06989
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K00767
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K00763
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K03783
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K10524
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K01081
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K19970
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K06210
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K01513
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K03426
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K01950
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K03462
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K01242
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K18152
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11411
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11412
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11413
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11414
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11415
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11416
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K11417
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K00858
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K00323
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K00541
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),K00157
44,hsa00780,Biotin metabolism - Homo sapiens (human),K09458
44,hsa00780,Biotin metabolism - Homo sapiens (human),K01942
44,hsa00780,Biotin metabolism - Homo sapiens (human),K01435
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K23735
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K03644
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K10105
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K23756
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00382
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00161
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00162
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00627
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00164
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00658
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K15791
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00166
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00167
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K09699
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00281
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K00605
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human),K02437
46,hsa00830,Retinol metabolism - Homo sapiens (human),K00515
46,hsa00830,Retinol metabolism - Homo sapiens (human),K13951
46,hsa00830,Retinol metabolism - Homo sapiens (human),K13980
46,hsa00830,Retinol metabolism - Homo sapiens (human),K00121
46,hsa00830,Retinol metabolism - Homo sapiens (human),K13952
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11146
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11147
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11148
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11149
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11150
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11151
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11152
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11153
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11161
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11154
46,hsa00830,Retinol metabolism - Homo sapiens (human),K15734
46,hsa00830,Retinol metabolism - Homo sapiens (human),K13369
46,hsa00830,Retinol metabolism - Homo sapiens (human),K00678
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11155
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11156
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11157
46,hsa00830,Retinol metabolism - Homo sapiens (human),K11158
46,hsa00830,Retinol metabolism - Homo sapiens (human),K00061
46,hsa00830,Retinol metabolism - Homo sapiens (human),K00157
46,hsa00830,Retinol metabolism - Homo sapiens (human),K07249
46,hsa00830,Retinol metabolism - Homo sapiens (human),K07437
46,hsa00830,Retinol metabolism - Homo sapiens (human),K12664
46,hsa00830,Retinol metabolism - Homo sapiens (human),K12665
46,hsa00830,Retinol metabolism - Homo sapiens (human),K07408
46,hsa00830,Retinol metabolism - Homo sapiens (human),K07409
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17683
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17709
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17718
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17719
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17720
46,hsa00830,Retinol metabolism - Homo sapiens (human),K07420
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17689
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17690
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17691
46,hsa00830,Retinol metabolism - Homo sapiens (human),K07423
46,hsa00830,Retinol metabolism - Homo sapiens (human),K00699
46,hsa00830,Retinol metabolism - Homo sapiens (human),K09516
46,hsa00830,Retinol metabolism - Homo sapiens (human),K17951
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00643
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01885
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K14163
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01698
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01749
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01719
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01599
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00228
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00231
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01772
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K02257
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K02259
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00798
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00510
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K21418
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00214
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K05901
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K00699
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01195
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K01764
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K13624
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K14735
47,hsa00860,Porphyrin metabolism - Homo sapiens (human),K19054
48,hsa00232,Caffeine metabolism - Homo sapiens (human),K07409
48,hsa00232,Caffeine metabolism - Homo sapiens (human),K00622
48,hsa00232,Caffeine metabolism - Homo sapiens (human),K17683
48,hsa00232,Caffeine metabolism - Homo sapiens (human),K00106
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K07408
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17719
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17689
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K07410
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00799
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K23790
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K13299
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K04097
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K01253
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17709
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K11822
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K07409
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17683
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K07415
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K07416
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K07420
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00212
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00078
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17685
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17712
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K15680
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00079
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00084
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00699
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K17690
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K15303
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00129
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K13951
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K13980
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K00121
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),K13952
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17712
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17719
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17689
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00485
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17721
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17709
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17690
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00799
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K23790
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K13299
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K04097
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K13951
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K13980
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00121
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K13952
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00129
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00274
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00157
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K00699
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K07409
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K07415
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17718
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),K17683
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00760
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00088
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01951
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00569
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00106
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01519
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01044
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K03927
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00699
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01195
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K17689
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01489
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00758
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00207
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01464
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01431
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K17683
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00757
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00876
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00857
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K13421
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K13800
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K10807
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K10808
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00940
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K01520
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K10789
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00622
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K07415
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K00799
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),K23790
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K05641
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K08757
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K01059
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K00650
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22284
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K08761
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K16835
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22283
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K09644
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K06259
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K12473
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K14349
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K00637
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22286
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22287
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K17305
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22288
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K08767
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22289
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K13885
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K12388
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K14462
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K13050
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K12474
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K10637
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K04524
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K04550
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K06233
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22290
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K01052
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K22291
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K05862
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K15040
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K15041
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K05770
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K00488
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K06096
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K10707
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K12385
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K20464
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K13443
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K16931
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K25914
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K00489
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K05664
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K05683
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K05684
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K08758
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K08759
52,hsa04979,Cholesterol metabolism - Homo sapiens (human),K08760
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K07299
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K07593
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K12407
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00873
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00161
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00162
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K12077
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04451
