,pathway_name,pathway_description,ko_id
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00889
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K13712
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01099
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K20278
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K20279
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00922
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K21289
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01110
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K03084
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K15909
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00923
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01109
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00921
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K22913
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00920
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05858
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05857
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05860
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01116
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05859
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05861
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K19006
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01092
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00999
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01858
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01107
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01106
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K24222
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K03103
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00911
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00913
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00915
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K10572
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00469
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00140
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01803
15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K00261
15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K01915
15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K01948
15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K01672
15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K18245
15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K18246
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K13811
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K01082
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K15759
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K00387
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K22470
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K17725
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K01011
16,hsa00920,Sulfur metabolism - Homo sapiens (human),K17285
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K11529
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00128
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14085
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00149
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00011
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00002
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00863
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00864
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00629
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13506
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13509
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13523
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K19007
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13513
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13517
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01080
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K15728
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K18693
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00901
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K11155
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K11160
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14456
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K12298
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K16816
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13534
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14073
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14074
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14075
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14076
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K22283
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14452
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K22284
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01059
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K09881
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01054
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K25824
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14458
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14457
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01189
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00006
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00111
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00629
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13506
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13509
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13523
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K19007
